Name,Website,Industry,Country,Funding Amount (USD),Funding Type,Last Funding Date,Is_Undisclosed,Month,Month_Num,Primary Industry,Industry_Count,Stage_Group
Curapod,litemed.co.in,"Healthcare, Hardware",India,2209596.0,Seed,2026-02-01,False,Feb-2026,2,Healthcare,2,Early Stage
Elixiir Foods,elixiirfoods.com,"Food and Beverage, Consumer Goods, E-commerce, Manufacturing, Retail",India,9000000.0,Seed,2026-02-01,False,Feb-2026,2,Food and Beverage,5,Early Stage
GO DESi,godesi.in,"Food and Beverage, Consumer Goods, E-commerce, Manufacturing, Retail",India,0.0,Series B,2026-02-01,True,Feb-2026,2,Food and Beverage,5,Growth Stage
DUSQ,getinnergize.com,"Mental Health, Wellness, Hardware, Healthcare, Wearables",India,2649258.0,Seed,2026-02-01,False,Feb-2026,2,Mental Health,5,Early Stage
Digitory,digitory.com,"Artificial Intelligence, Analytics, B2B Software, Data, E-commerce",India,500000.0,Seed,2026-02-01,False,Feb-2026,2,Artificial Intelligence,5,Early Stage
DSLR Technologies,dslrteam.com,"E-commerce, B2B Software, Marketing, Social Network",India,8823156.0,Series A,2026-02-01,False,Feb-2026,2,E-commerce,4,Growth Stage
e-TRNL Energy,e-trnl.energy,"Energy, Electronics, Hardware, Manufacturing, Materials",India,3020230.0,Seed,2026-02-01,False,Feb-2026,2,Energy,5,Early Stage
GREW Solar,thegrewsolar.com,"Energy, Electronics, Hardware, Manufacturing",India,115738738.0,Private Equity,2026-02-01,False,Feb-2026,2,Energy,4,Private Equity
Supertails,supertails.com,"Pets, E-commerce, Healthcare, Retail",India,30000000.0,Series C,2026-02-01,False,Feb-2026,2,Pets,4,Growth Stage
WellWith India Pvt. Ltd.,wellwithlife.com,"Nutrition and Supplements, Wellness, Beauty, Consumer Goods, E-commerce, Food and Beverage, Retail",India,137862.0,Seed,2026-02-01,False,Feb-2026,2,Nutrition and Supplements,7,Early Stage
SteamPRO,steampro.in.,"Hardware, Consumer Goods, Electronics, Wellness",India,419577.0,Seed,2026-02-01,False,Feb-2026,2,Hardware,4,Early Stage
Slurrp Farm,slurrpfarm.com,"Food and Beverage, Wellness, Consumer Goods, E-commerce, Family, Nutrition and Supplements, Retail",India,3314394.0,Series C,2026-02-01,False,Feb-2026,2,Food and Beverage,7,Growth Stage
Nester India,nesterstore.com,"E-commerce, Consumer Goods, Electronics, Retail",India,2097883.0,Seed,2026-02-01,False,Feb-2026,2,E-commerce,4,Early Stage
True Balance,truebalance.io,"Mobile, B2C Software, Telecommunications",India,21918324.0,Series E,2026-02-01,False,Feb-2026,2,Mobile,3,Late Stage
Pandorum Technologies,pandorum.com,"Biotechnology, Healthcare, Pharmaceuticals",India,18000000.0,Series B,2026-02-01,False,Feb-2026,2,Biotechnology,3,Growth Stage
Benny’s Bowl,bennysbowl.com,"Pets, Consumer Goods, E-commerce, Food and Beverage, Retail",India,1400000.0,Seed,2026-02-01,False,Feb-2026,2,Pets,5,Early Stage
