Name,Website,Industry,Country,Funding Amount (USD),Funding Type,Last Funding Date
Articulus Surgical,articulussurgical.com,"Robotics, Healthcare, Hardware",India,,Seed,Feb-26
Heliware,heliware.co.in,"Analytics, 3D, Artificial Intelligence, B2B Software, Cloud Computing, Data",India,"$496,736",Venture - Series Unknown,Feb-26
BigHaat,bighaat.com,"Agriculture, E-commerce, Marketplace",India,"$10,000,000",Series D,Feb-26
CleanMax,cleanmax.com,"Energy, Environment",India,"$165,434,178",Private Equity,Feb-26
Enhancio,enhancio.com,"Marketing, B2B Software, Sales",India,"$1,090,000",Convertible Note,Feb-26
Care.Fi,carefi.in,"FinTech, Finance, Healthcare",India,"$5,000,000",Series A,Feb-26
Immersive Trails,immersivetrails.com,"Travel, Environment, Marketplace, Recreation",India,,Seed,Feb-26
Showroom B2B,showroomb2b.com,"Fashion, Artificial Intelligence, B2B Software, Logistics, Marketplace, Retail",India,"$16,562,234",Series A,Feb-26
Timbuckdo Innovations,timbuckdo.com,"Marketplace, E-commerce, Recruiting, Social Network",India,"$298,120",Seed,Feb-26
Radiance Renewables,radiancerenewables.com,"Energy, Construction, Environment, Utilities",India,"$100,000,000",Private Equity,Feb-26
Preventify,preventify.me,"Healthcare, Wellness",India,"$220,579",Pre-Seed,Feb-26
Elevate Now,joinelevatenow.com,"Healthcare, Wellness, Nutrition and Supplements",India,"$1,985,210",Seed,Feb-26
IndiGrid Technology,indigridtechnology.com,"EV, Automotive, Electronics, Energy, Hardware, Manufacturing",India,"$4,415,430",Series A,Feb-26
Six Sense Mobility,sixsensemobility.com,"Automotive, B2B Software, Cloud Computing, Electronics, Hardware, Telecommunications",India,"$4,850,004",Seed,Feb-26
Padcare Labs,padcarelabs.com,"Consumer Goods,Environment,Manufacturing,Wellness",India,"$3,000,000",Seed,Feb-26
Olyv,olyv.co.in,"FinTech, Finance, Mobile",India,"$22,829,917",Series C,Feb-26
Knight FinTech,knightfintech.com,"FinTech, Finance, B2B Software",India,"$23,600,000",Series A,Jan-26
Arya Collateral,arya.ag,"Agriculture, Finance, Logistics, Marketplace",India,"$80,584,611",Series D,Jan-26
Neemans,neemans.com,"Fashion, Consumer Goods, E-commerce, Manufacturing, Retail",India,"$3,948,812",Series B,Jan-26
Truva,truva.in,"Real Estate, Marketplace",India,"$6,301,370",Series A,Jan-26
Mylapay,mylapay.com,"FinTech, Finance, B2B Software, Cloud Computing, Cyber Security",India,"$1,000,000",Venture - Series Unknown,Jan-26
Asego Global Assistance,asego.in,"Insurance, Travel",India,"$19,390,633",Private Equity,Jan-26
ROADGRID,roadgridindia.com,"EV, Automotive, Energy, Hardware, Mobile",India,"$1,334,793",Seed,Jan-26
PumPumPum,pumpumpum.com,"Automotive, Transportation",India,"$194,657",Seed,Jan-26
KayEss Square Consulting,kayesssquare.com,"Professional Services, Finance, Legal",India,"$1,110,116",Seed,Jan-26
EMoMee,emomee.com,"Education, Entertainment, Family, Personal Development",India,"$222,461",Seed,Jan-26
Arrowhead,arrowhead.team,"B2B Software, Artificial Intelligence, Sales",India,"$3,000,000",Seed,Jan-26
OSSO,osso.care,Healthcare,India,"$443,214",Seed,Jan-26
Be Clinical,be-clinical.com,"Beauty, Consumer Goods",India,"$667,397",Seed,Jan-26
Even,even.in,Healthcare,India,"$20,000,000",Series A,Jan-26
SaveSage Club,savesage.club,"FinTech, Finance, B2C Software, Mobile",India,"$444,888",Pre-Seed,Jan-26
&Done,anddonehair.com,"Beauty, Consumer Goods, E-commerce, Retail",India,"$3,000,000",Series A,Jan-26
GOAT Life,thegooat.com,"Food and Beverage, Consumer Goods, Wellness",India,"$177,619",Pre-Seed,Jan-26
Spector.ai,spector.ai,"Artificial Intelligence, B2B Software, Data, Manufacturing",India,"$6,450,870",Venture - Series Unknown,Jan-26
Multibagg AI,multibagg.ai,"Investing, Finance, Artificial Intelligence, Analytics, Data",India,"$166,205",Pre-Seed,Jan-26
TakeMe2Space,tm2.space,"Aerospace, Hardware",India,"$5,000,000",Seed,Jan-26
Japam,japam.in,"E-commerce, Consumer Goods, Retail",India,"$165,410",Seed,Jan-26
Aule Space,aule.space,"Aerospace, Hardware, Robotics",India,"$2,000,000",Pre-Seed,Jan-26
Smylo,getsmylo.com,"Pets, Consumer Goods, E-commerce, Food and Beverage, Retail",India,"$83,012",Seed,Jan-26
Misochain Technologies,misochain.in,"Aerospace, Aviation, Government, Hardware, Manufacturing",India,"$1,994,784",Seed,Jan-26
Liquidnitro Games,liquidnitro.games,"Gaming, Entertainment",India,"$19,100,000",Series A,Jan-26
LearnTube,learntube.ai,Education,India,,Seed,Jan-26
Atomgrid,atomgrid.in,"Chemicals, Agriculture, Beauty, Food and Beverage, Manufacturing, Pharmaceuticals",India,"$7,000,000",Seed,Jan-26
Edgistify,edgistify.com,"Logistics, Artificial Intelligence, B2B Software, E-commerce",India,"$1,400,000",Seed,Jan-26
Secret Alchemist,secretalchemist.com,"Wellness, Beauty, Consumer Goods, E-commerce",India,"$2,500,000",Seed,Jan-26
GrowthPal,growthpal.com,"B2B Software, Finance, Investing",India,"$2,600,000",Venture - Series Unknown,Jan-26
HandyPanda,handypanda.in,"Marketplace, Construction, E-commerce, Materials, Retail",India,"$221,366",Pre-Seed,Jan-26
